id,name,group
0,Abiodun Ogunyemi,23
1,Adriana Lopes Damian,25
2,Alandjansen Rodrigues,17
3,Alessandro J. de Souza,36
4,Aletheia Machado de Oliveira,15
5,Alexander Schill,24
6,Allan Kássio Beckman Soares da Cruz,30
7,Ana Carolina Innecco C de Araujo,17
8,Ana Cristina Bicharra Garcia,28
9,Anderson Luiz O. Cavalcanti,36
10,André Calfa,17
11,Anna Beatriz dos Santos Marques,25
12,Ariane Moraes Bueno,17
13,Arif Raza,10
14,Belchior Elias,15
15,Bernhard Dorninger,22
16,Bruna Moraes,25
17,Bruno Santana Silva,17
18,Carla Faria Leitão,17
19,Carla Ferreira Fernandes,29
20,Carlos Eduardo Brito Novais,27
21,Carlos José P. de Lucena,17
22,Carlos Rosemberg Maia de Carvalho,6
23,Cássio da Pieva Ehlers,34
24,Christophe Kolski,13
25,Cintia Carvalho Oliveira,39
26,Clarisse Sieckenius de Souza,17
27,Claudia Andrea Mena Saavedra,19
28,Cristian Rusu,19
29,Cristiano Maciel,28
30,Cybelle Loureiro,31
31,Daniel Antônio Midena Aguillar,7
32,Daniel Schwabe,17
33,Daniel Vitor Costa Ferreira,17
34,Daniele Carvalho Oliveira,39
35,Daniele Haucke,7
36,David Lamas,23
37,Débora Line,31
38,Débora Mendonça Cardador Corrêa da Costa,17
39,Diana Adamatti,4
40,Diogo Marcos de Oliveira,31
41,Ecivaldo de Souza Matos,26
42,Eduardo Tiomno Tolmasquim,17
43,Elaine S. França,31
44,Elisabeth-Ann Gynn Todd,9
45,Elsa Chinita Soares Rodrigues,43
46,Elton José da Silva,33
47,Emanuelly de Freitas Morais Barros,31
48,Esteban Robles Luna,50
49,Eurico Vasconcelos,3
50,Filipe Adeodato Garrido,26
51,Florence Pontico,11
52,Franco Eusébio Garcia,38
53,Frederick M. C. van Amstel,16
54,Gláucio H. M. Moro,16
55,Gustavo de M. Gonçalves,17
56,Gustavo Rossi,50
57,Hana K. Rubinsztejn,17
58,Heider Maciel,31
59,Hugo Fuks,17
60,Iago Antônio Domingues Vaz,31
61,Igor Mendonça,39
62,Ilya Shmorgun,23
63,Ingrid Teixeira Monteiro,17
64,Irene Garrigós,46
65,Jair Cavalcanti Leite,36
66,Jean Clemisson Santos Rosa,26
67,Jean-Pierre Briot,17
68,Jefferson José Baqueta,42
69,Jim Burton,47
70,Jordan Janeiro,24
71,José Eurico Vasconcelos,17
72,Julián Alberto Garcia,49
73,Juliana Soares Janse Ferreira,17
74,Juliano Ratusznei,40
75,Julio Guido Oliveira Militão,41
76,Júnio Soares Dias,31
77,Kamila Rios da Hora Rodrigues,38
78,Karina de Oliveira Rodrigues da Silva,31
79,Káthia Marçal Oliveira,13
80,Kleder M. Gonçalves,17
81,Larissa Ayres,25
82,Leonardo Ayres,41
83,Leonardo Freitas,31
84,Letícia Capelão,31
85,Ligia de Castro Felix Almeida,15
86,Lucélia de Souza,40
87,Luciana Cardoso Castro Salgado,17
88,Luís Felipe Hussin Bento,31
89,Luiz Chaimowicz,31
90,Luiz Gustavo de Souza,17
91,Luiz Marques Afonso,17
92,Lyra de Almeida Guimarães Soares,31
93,Macilon Araújo Costa Neto,45
94,Mahmood Hosseini,1
95,Maihara F. de Oliveira Baldus,32
96,Maíra Greco de Paula,17
97,Marco Brambilla,12
98,Marco Winckler,11
99,Marcos Rafael de Oliveira,51
100,Margarida Freitas Guimarães,15
101,Maria Cristina Machado Domingues,7
102,Maria José Escalona,49
103,Mario Anzures García,44
104,Markus Endler,17
105,Marta Irving,35
106,Mary Beth Rosson,14
107,Matias Urbieta,50
108,Michel S. Soares,37
109,Milene Selbach Silveira,18
110,Natasha Valentim,25
111,Otávio A Martins Netto,17
112,Patric Galera Forcelini,52
113,Patrícia Cristiane de Souza,32
114,Plinio Thomaz Aquino Junio,2
115,Priscilla Márcia Scarpelli Bastos,31
116,Quentin Limbourg,21
117,Rafael Alves,41
118,Rafael Araújo,39
119,Rafael Rossato de Souza,8
120,Rafael Rossi de Mello Brandão,5
121,Raimundo Barreto,25
122,Raquel Oliveira Prates,31
123,Renan G. Cattelan,39
124,Renata Zilse,20
125,Renato Fontoura de Gusmão Cerqueira,5
126,Rodrigo A. S. Alves,31
127,Rodrigo Ferreira da Silva,31
128,Rodrigo Freese Gonzatto,16
129,Rodrigo Mattos Mengue,40
130,Sara Imtiaz,10
131,Sebastian Feuerstack,38
132,Silvana Roncagliolo,19
133,Sílvia Amélia Bim,52
134,Simone Diniz Junqueira Barbosa,17
135,Socrates Veridiano Faria Lopes,7
136,Sven Linker,47
137,Taffarel Brant Ribeiro,39
138,Taisa Guidini Gonçalves,13
139,Tayana Uchôa Conte,25
140,Thiago Ribeiro Nunes,17
141,Thomas Springer,24
142,Tiago Silva da Silva,18
143,Ticianne de Gois Ribeiro,27
144,Timothy C. Lethbridge,48
145,Ugo Braga Sangiorgi,17
146,Vahdat Abdelzad,48
147,Vânia Paula de Almeida Neris,38
148,Vasco Furtado,41
149,Vinícius Costa Villas Bôas Segura,17
150,Vinícius Sebba,3
151,Viviane Cristina Oliveira Aureliano,31
152,Viviane Lílian dos Santos Barrozo,31
153,Werner Putschögl,22
154,Williamson Silva,25
